date_str,price_usd_per_lb,date,price_usd_per_kg,year,month,month_name,year_month,quarter,price_yoy_pct,price_yoy_absolute,price_index_2017
2021-02-01,0.779,2021-02-01,1.7173989799999998,2021,2,February,2021-02,1,6.13079019073568,0.0992078999999999,108.00693240901211
2021-03-01,0.772,2021-03-01,1.70196664,2021,3,March,2021-03,1,5.320600272851306,0.08598018000000018,107.03639514731368
2021-04-01,0.785,2021-04-01,1.7306267,2021,4,April,2021-04,2,7.094133697135074,,108.83882149046794
2021-05-01,0.801,2021-05-01,1.76590062,2021,5,May,2021-05,2,7.08556149732622,0.11684486000000027,111.05719237435008
2021-06-01,0.778,2021-06-01,1.71519436,2021,6,June,2021-06,2,3.8718291054739673,0.06393398000000006,107.86828422876948
2021-07-01,0.782,2021-07-01,1.7240128399999999,2021,7,July,2021-07,3,1.2953367875647714,0.022046199999999905,108.42287694974002
2021-08-01,0.784,2021-08-01,1.7284220799999999,2021,8,August,2021-08,3,1.950585175552666,0.03306929999999997,108.7001733102253
2021-09-01,0.798,2021-09-01,1.75928676,2021,9,September,2021-09,3,2.7027027027027195,0.04629702000000013,110.64124783362217
2021-10-01,0.788,2021-10-01,1.7372405599999998,2021,10,October,2021-10,4,2.872062663185382,0.04850164000000001,109.25476603119581
2021-11-01,0.844,2021-11-01,1.8606992799999997,2021,11,November,2021-11,4,6.700379266750933,0.11684485999999983,117.01906412478334
2021-12-01,0.82,2021-12-01,1.8077883999999997,2021,12,December,2021-12,4,3.9290240811153287,0.06834321999999982,113.69150779896012
2022-01-01,0.832,2022-01-01,1.8342438399999998,2022,1,January,2022-01,1,4.785894206549113,0.08377555999999986,115.35528596187174
2022-02-01,0.83,2022-02-01,1.8298345999999996,2022,2,February,2022-02,1,6.546854942233615,0.11243561999999985,115.07798960138646
2022-03-01,0.871,2022-03-01,1.9202240199999998,2022,3,March,2022-03,1,12.823834196891193,0.21825737999999983,120.76256499133447
2022-04-01,0.9,2022-04-01,1.9841579999999999,2022,4,April,2022-04,2,14.649681528662416,0.2535312999999999,124.78336221837087
2022-05-01,0.909,2022-05-01,2.00399958,2022,5,May,2022-05,2,13.483146067415719,0.23809895999999986,126.03119584055457
2022-06-01,0.924,2022-06-01,2.03706888,2022,6,June,2022-06,2,18.766066838046292,0.32187452000000016,128.1109185441941
2022-07-01,0.929,2022-07-01,2.0480919799999997,2022,7,July,2022-07,3,18.79795396419437,0.3240791399999998,128.80415944540727
2022-08-01,0.925,2022-08-01,2.0392734999999997,2022,8,August,2022-08,3,17.984693877551017,0.3108514199999999,128.24956672443673
2022-09-01,0.939,2022-09-01,2.07013818,2022,9,September,2022-09,3,17.669172932330813,0.3108514199999999,130.1906412478336
2022-10-01,0.963,2022-10-01,2.1230490599999996,2022,10,October,2022-10,4,22.208121827411166,0.3858084999999998,133.5181975736568
2022-11-01,0.963,2022-11-01,2.1230490599999996,2022,11,November,2022-11,4,14.099526066350698,0.26234977999999987,133.5181975736568
2022-12-01,0.971,2022-12-01,2.14068602,2022,12,December,2022-12,4,18.41463414634148,0.3328976200000002,134.6273830155979
2023-01-01,0.97,2023-01-01,2.1384814,2023,1,January,2023-01,1,16.58653846153846,0.30423756,134.48873483535527
2023-02-01,0.959,2023-02-01,2.1142305799999996,2023,2,February,2023-02,1,15.542168674698797,0.28439598,132.96360485268627
2023-03-01,0.982,2023-03-01,2.1649368399999998,2023,3,March,2023-03,1,12.74397244546499,0.24471281999999994,136.15251299826687
2023-04-01,0.98,2023-04-01,2.1605275999999995,2023,4,April,2023-04,2,8.888888888888879,0.17636959999999968,135.8752166377816
2023-05-01,0.997,2023-05-01,2.19800614,2023,5,May,2023-05,2,9.680968096809695,0.19400656000000005,138.2322357019064
2023-06-01,1.003,2023-06-01,2.2112338599999997,2023,6,June,2023-06,2,8.54978354978353,0.17416497999999958,139.0641247833622
2023-07-01,1.006,2023-07-01,2.21784772,2023,7,July,2023-07,3,8.288482238966655,0.16975574000000027,139.48006932409012
2023-08-01,0.997,2023-08-01,2.19800614,2023,8,August,2023-08,3,7.783783783783793,0.1587326400000002,138.2322357019064
2023-09-01,0.981,2023-09-01,2.1627322199999996,2023,9,September,2023-09,3,4.472843450479225,0.09259403999999982,136.01386481802425
2023-10-01,0.96,2023-10-01,2.1164351999999997,2023,10,October,2023-10,4,-0.31152647975076775,-0.00661385999999986,133.10225303292893
2023-11-01,0.992,2023-11-01,2.18698304,2023,11,November,2023-11,4,3.011422637590866,0.06393398000000028,137.53899480069322
2023-12-01,0.99,2023-12-01,2.1825737999999997,2023,12,December,2023-12,4,1.9567456230689784,0.04188777999999971,137.26169844020794
2024-01-01,1.0,2024-01-01,2.20462,2024,1,January,2024-01,1,3.092783505154628,0.06613859999999994,138.6481802426343
2024-02-01,1.001,2024-02-01,2.2068246199999995,2024,2,February,2024-02,1,4.379562043795615,0.09259403999999982,138.7868284228769
2024-03-01,1.014,2024-03-01,2.23548468,2024,3,March,2024-03,1,3.258655804480659,0.07054784000000014,140.5892547660312
2024-04-01,1.025,2024-04-01,2.2597354999999997,2024,4,April,2024-04,2,4.591836734693877,0.09920790000000013,142.11438474870016
2024-05-01,1.002,2024-05-01,2.20902924,2024,5,May,2024-05,2,0.5015045135406293,0.011023100000000063,138.9254766031196
2024-06-01,1.018,2024-06-01,2.24430316,2024,6,June,2024-06,2,1.4955134596211561,0.03306930000000019,141.14384748700172
2024-07-01,1.039,2024-07-01,2.2906001799999998,2024,7,July,2024-07,3,3.280318091451284,0.0727524599999998,144.05545927209704
2024-08-01,1.085,2024-08-01,2.3920126999999995,2024,8,August,2024-08,3,8.826479438314937,0.1940065599999996,150.4332755632582
2024-09-01,1.078,2024-09-01,2.3765803599999997,2024,9,September,2024-09,3,9.887869520897041,0.21384814000000008,149.46273830155977
2024-10-01,1.056,2024-10-01,2.3280787199999997,2024,10,October,2024-10,4,10.000000000000009,0.21164351999999997,146.41247833622182
2024-11-01,1.061,2024-11-01,2.3391018199999998,2024,11,November,2024-11,4,6.955645161290325,0.1521187799999999,147.10571923743498
2024-12-01,1.032,2024-12-01,2.27516784,2024,12,December,2024-12,4,4.2424242424242475,0.09259404000000027,143.0849220103986
