date_str,food_cpi_index,date,year,month,month_name,year_month,quarter,cpi_yoy_pct,cpi_yoy_absolute,cpi_index_2017
2022-09-01,313.142,2022-09-01,2022,9,September,2022-09,3,11.238126363203627,31.636000000000024,125.2242834277366
2022-10-01,315.323,2022-10-01,2022,10,October,2022-10,4,10.949138825847538,31.117999999999995,126.09645695334444
2022-11-01,315.857,2022-11-01,2022,11,November,2022-11,4,10.630212218964875,30.350000000000023,126.31000150294307
2022-12-01,316.839,2022-12-01,2022,12,December,2022-12,4,10.409944035181873,29.87299999999999,126.70269953235476
2023-01-01,319.136,2023-01-01,2023,1,January,2023-01,1,10.133484256587955,29.364000000000033,127.62126101255708
2023-02-01,320.569,2023-02-01,2023,2,February,2023-02,1,9.486191656932874,27.775000000000034,128.19431221026275
2023-03-01,320.863,2023-03-01,2023,3,March,2023-03,1,8.499364280690358,25.13499999999999,128.31188168139005
2023-04-01,321.566,2023-04-01,2023,4,April,2023-04,2,7.651208023808942,22.85499999999996,128.59300868207887
2023-05-01,322.249,2023-05-01,2023,5,May,2023-05,2,6.691542123838734,20.211000000000013,128.86613775956178
2023-06-01,322.556,2023-06-01,2023,6,June,2023-06,2,5.741851095426509,17.514999999999986,128.98890588077293
2023-07-01,323.523,2023-07-01,2023,7,July,2023-07,3,4.858815293065244,14.991000000000042,129.3756054677802
2023-08-01,324.1,2023-08-01,2023,8,August,2023-08,3,4.254121431443503,13.225000000000023,129.6063455522716
2023-09-01,324.704,2023-09-01,2023,9,September,2023-09,3,3.6922546320838467,11.562000000000012,129.847882833091
2023-10-01,325.731,2023-10-01,2023,10,October,2023-10,4,3.3007424133349117,10.408000000000015,130.25857618971605
2023-11-01,325.172,2023-11-01,2023,11,November,2023-11,4,2.9491193799725757,9.314999999999998,130.03503423611002
2023-12-01,325.409,2023-12-01,2023,12,December,2023-12,4,2.704843785013833,8.569999999999993,130.1298096261004
2024-01-01,327.327,2024-01-01,2024,1,January,2024-01,1,2.566617366890589,8.190999999999974,130.89681046155016
2024-02-01,327.731,2024-02-01,2024,2,February,2024-02,1,2.234152397767719,7.161999999999978,131.05836851031015
2024-03-01,328.043,2024-03-01,2024,3,March,2024-03,1,2.237715161922682,7.180000000000007,131.18313611232284
2024-04-01,328.678,2024-04-01,2024,4,April,2024-04,2,2.2116766076015537,7.112000000000023,131.43707017411145
2024-05-01,329.12,2024-05-01,2024,5,May,2024-05,2,2.1322021169964733,6.870999999999981,131.61382427696276
2024-06-01,329.71,2024-06-01,2024,6,June,2024-06,2,2.2179094482818407,7.153999999999996,131.849763011538
2024-07-01,330.561,2024-07-01,2024,7,July,2024-07,3,2.1754249311486173,7.037999999999954,132.1900746439508
2024-08-01,330.75,2024-08-01,2024,8,August,2024-08,3,2.0518358531317338,6.649999999999977,132.26565501824692
2024-09-01,332.083,2024-09-01,2024,9,September,2024-09,3,2.2725312900364614,7.379000000000019,132.7987165999229
2024-10-01,332.678,2024-10-01,2024,10,October,2024-10,4,2.1327414338825568,6.947000000000003,133.0366548152996
2024-11-01,332.904,2024-11-01,2024,11,November,2024-11,4,2.3778185083586534,7.731999999999971,133.12703134752675
2024-12-01,333.566,2024-12-01,2024,12,December,2024-12,4,2.506691578905307,8.156999999999982,133.39176260564338
