date,year,month,month_name,quarter,year_month,price_usd_per_lb,price_usd_per_kg,price_yoy_pct,price_yoy_absolute,price_index_2017,food_cpi_index,cpi_yoy_pct,cpi_yoy_absolute,cpi_index_2017,affordability_index
2018-11-01,2018,11,November,4,2018-11,0.711,1.5674848199999998,-0.1404494382022503,-0.0022046200000001015,98.57885615251298,254.379,1.39832822446595,3.5079999999999814,101.72518536020145,96.90703025357236
2018-12-01,2018,12,December,4,2018-12,0.712,1.5696894399999999,0.14064697609001975,0.0022046200000001015,98.71750433275562,255.21,1.5809710314522496,3.9720000000000084,102.05749906940831,96.72734020811035
2019-01-01,2019,1,January,1,2019-01,0.73,1.6093725999999997,7.038123167155419,0.10582175999999976,101.21317157712303,256.417,1.6072214010881103,4.055999999999983,102.54017373488682,98.70587096800256
2019-02-01,2019,2,February,1,2019-02,0.762,1.6799204399999998,10.274963820549932,0.1565280200000001,105.64991334488734,257.222,1.9645929296853382,4.955999999999989,102.86209014392595,102.71025330815331
2019-03-01,2019,3,March,1,2019-03,0.757,1.6688973399999998,10.997067448680342,0.16534649999999984,104.95667244367417,257.724,2.1214882910012944,5.353999999999985,103.06283801639506,101.83755315080478
2019-04-01,2019,4,April,2,2019-04,0.767,1.69094354,11.970802919708024,0.18077883999999989,106.3431542461005,257.708,1.7767930839741153,4.499000000000024,103.05643967783034,103.18923744944509
2019-05-01,2019,5,May,2,2019-05,0.761,1.67771582,9.025787965616061,0.13889106000000018,105.51126516464471,258.11,1.980260610514506,5.0120000000000005,103.21719793426973,102.22256298009162
2019-06-01,2019,6,June,2,2019-06,0.801,1.76590062,16.255442670537022,0.24691744000000027,111.05719237435008,258.064,1.9085341052240912,4.833000000000027,103.19880271089608,107.61480701037658
2019-07-01,2019,7,July,3,2019-07,0.798,1.75928676,15.652173913043498,0.2380989600000003,110.64124783362217,258.274,1.7844616269813152,4.527999999999992,103.28278090455845,107.124582495376
2019-08-01,2019,8,August,3,2019-08,0.793,1.7482636599999999,12.482269503546096,0.19400656000000005,109.948006932409,258.41,1.7053885239514122,4.333000000000027,103.33716678235885,106.39734991377634
2019-09-01,2019,9,September,3,2019-09,0.797,1.7570821399999998,15.007215007215024,0.22928048000000012,110.50259965337955,258.943,1.7885712264095188,4.549999999999983,103.55031143579716,106.71392304009912
2019-10-01,2019,10,October,4,2019-10,0.773,1.7041712599999999,12.846715328467152,0.19400655999999983,107.17504332755632,259.632,2.0734555233175245,5.274000000000001,103.82583989024184,103.22578988126179
2019-11-01,2019,11,November,4,2019-11,0.721,1.58953102,1.406469760900153,0.022046200000000127,99.96533795493934,259.467,2.00016510796881,5.087999999999994,103.7598570237928,96.34297966699843
2019-12-01,2019,12,December,4,2019-12,0.714,1.5740986799999999,0.2808988764045006,0.004409239999999981,98.99480069324089,259.823,1.8075310528584243,4.612999999999971,103.90222005685857,95.27688690296301
2020-01-01,2020,1,January,1,2020-01,0.716,1.5785079199999998,-1.9178082191780743,-0.030864679999999867,99.27209705372616,261.057,1.8095524087716752,4.640000000000043,104.39569191866511,95.09213955980985
2020-02-01,2020,2,February,1,2020-02,0.734,1.61819108,-3.6745406824146953,-0.061729359999999955,101.76776429809358,261.876,1.8093320167015259,4.653999999999996,104.72320687394839,97.17785325327922
2020-03-01,2020,3,March,1,2020-03,0.733,1.6159864599999998,-3.1704095112285335,-0.052910879999999993,101.62911611785094,262.708,1.9338517173410397,4.984000000000037,105.05592047931553,96.7381140007818
2020-04-01,2020,4,April,2,2020-04,,,-4.4328552803129195,,,266.757,3.5113384140189607,9.048999999999978,106.67510003235827,
2020-05-01,2020,5,May,2,2020-05,0.748,1.6490557599999998,-1.708278580814726,-0.02866006000000021,103.70883882149045,268.439,4.001782185889735,10.329000000000008,107.3477253739779,96.61018755655017
2020-06-01,2020,6,June,2,2020-06,0.749,1.6512603799999999,-6.491885143570542,-0.11464024000000017,103.8474870017331,269.77,4.536084072168123,11.70599999999996,107.87998716333324,96.26204983182393
2020-07-01,2020,7,July,3,2020-07,0.772,1.70196664,-3.2581453634085156,-0.057320119999999974,107.03639514731368,268.863,4.09990939854572,10.588999999999999,107.51728134594383,99.5527359019776
2020-08-01,2020,8,August,3,2020-08,0.769,1.69535278,-3.0264817150063017,-0.052910879999999993,106.62045060658578,269.079,4.128710189234153,10.668999999999983,107.60365891656801,99.08626870137884
2020-09-01,2020,9,September,3,2020-09,0.777,1.7129897399999998,-2.509410288582181,-0.04409240000000003,107.72963604852686,269.163,3.9468145499202745,10.220000000000027,107.63725019403294,100.0858307457013
2020-10-01,2020,10,October,4,2020-10,0.766,1.6887389199999998,-0.9055627425614499,-0.015432340000000044,106.20450606585787,269.828,3.927096813952047,10.19599999999997,107.90318114063047,98.42574143151654
2020-11-01,2020,11,November,4,2020-11,0.791,1.74385442,9.708737864077666,0.1543234,109.67071057192372,269.069,3.700663282806693,9.602000000000032,107.59965995496503,101.92477431418045
2020-12-01,2020,12,December,4,2020-12,0.789,1.73944518,10.504201680672276,0.16534650000000006,109.39341421143847,270.023,3.9257494525119174,10.200000000000045,107.98116089188841,101.30787010241909
2021-01-01,2021,1,January,1,2021-01,0.794,1.75046828,10.89385474860336,0.17196036000000015,110.08665511265163,270.938,3.784997146217095,9.880999999999972,108.3470658785602,101.60557115228319
2021-02-01,2021,2,February,1,2021-02,0.779,1.7173989799999998,6.13079019073568,0.0992078999999999,108.00693240901211,271.363,3.6227069299974213,9.487000000000023,108.51702174668645,99.52994532151365
2021-03-01,2021,3,March,1,2021-03,0.772,1.70196664,5.320600272851306,0.08598018000000018,107.03639514731368,271.812,3.465444523958161,9.103999999999985,108.69657512265982,98.47264739162877
2021-04-01,2021,4,April,2,2021-04,0.785,1.7306267,7.094133697135074,,108.83882149046794,273.09,2.3740707835220753,6.33299999999997,109.20764241551942,99.66227553594814
2021-05-01,2021,5,May,2,2021-05,0.801,1.76590062,7.08556149732622,0.11684486000000027,111.05719237435008,274.212,2.1505816964002777,5.772999999999968,109.6563259073727,101.27750629558818
2021-06-01,2021,6,June,2,2021-06,0.778,1.71519436,3.8718291054739673,0.06393398000000006,107.86828422876948,276.206,2.385735997331073,6.4360000000000355,110.45371885100504,97.65925977945284
2021-07-01,2021,7,July,3,2021-07,0.782,1.7240128399999999,1.2953367875647714,0.022046199999999905,108.42287694974002,278.127,3.445621004005761,9.26400000000001,111.22191937493564,97.48337158635081
2021-08-01,2021,8,August,3,2021-08,0.784,1.7284220799999999,1.950585175552666,0.03306929999999997,108.7001733102253,279.135,3.7371924230430453,10.055999999999983,111.62501470451505,97.37976169406815
2021-09-01,2021,9,September,3,2021-09,0.798,1.75928676,2.7027027027027195,0.04629702000000013,110.64124783362217,281.506,4.5856971426236015,12.342999999999961,112.57316850057933,98.28385334383903
2021-10-01,2021,10,October,4,2021-10,0.788,1.7372405599999998,2.872062663185382,0.04850164000000001,109.25476603119581,284.205,5.328209081340707,14.37700000000001,113.65248823722105,96.13055351956211
2021-11-01,2021,11,November,4,2021-11,0.844,1.8606992799999997,6.700379266750933,0.11684485999999983,117.01906412478334,285.507,6.109213621784737,16.437999999999988,114.1731530379278,102.4926272167592
2021-12-01,2021,12,December,4,2021-12,0.82,1.8077883999999997,3.9290240811153287,0.06834321999999982,113.69150779896012,286.966,6.2746506779052025,16.942999999999984,114.75660153580121,99.07186713218515
2022-01-01,2022,1,January,1,2022-01,0.832,1.8342438399999998,4.785894206549113,0.08377555999999986,115.35528596187174,289.772,6.951405856690451,18.834000000000003,115.8787101615947,99.54829994311032
2022-02-01,2022,2,February,1,2022-02,0.83,1.8298345999999996,6.546854942233615,0.11243561999999985,115.07798960138646,292.794,7.897539458216474,21.430999999999983,117.08719635801236,98.28400814169088
2022-03-01,2022,3,March,1,2022-03,0.871,1.9202240199999998,12.823834196891193,0.21825737999999983,120.76256499133447,295.728,8.798728532956602,23.915999999999997,118.26049169232388,102.11573050577212
2022-04-01,2022,4,April,2,2022-04,0.9,1.9841579999999999,14.649681528662416,0.2535312999999999,124.78336221837087,298.711,9.381888754623024,25.621000000000038,119.45338193848998,104.46197520186197
2022-05-01,2022,5,May,2,2022-05,0.909,2.00399958,13.483146067415719,0.23809895999999986,126.03119584055457,302.038,10.147623007016481,27.826000000000022,120.78383646379824,104.34442184516061
2022-06-01,2022,6,June,2,2022-06,0.924,2.03706888,18.766066838046292,0.32187452000000016,128.1109185441941,305.041,10.439671839134546,28.83499999999998,121.98472463317025,105.02209922549434
2022-07-01,2022,7,July,3,2022-07,0.929,2.0480919799999997,18.79795396419437,0.3240791399999998,128.80415944540727,308.532,10.93205621892157,30.404999999999973,123.38076212876723,104.39565879077637
2022-08-01,2022,8,August,3,2022-08,0.925,2.0392734999999997,17.984693877551017,0.3108514199999999,128.24956672443673,310.875,11.370842065667164,31.74000000000001,124.31771883234319,103.1627413445352
2022-09-01,2022,9,September,3,2022-09,0.939,2.07013818,17.669172932330813,0.3108514199999999,130.1906412478336,313.142,11.238126363203627,31.636000000000024,125.2242834277366,103.96597024487104
2022-10-01,2022,10,October,4,2022-10,0.963,2.1230490599999996,22.208121827411166,0.3858084999999998,133.5181975736568,315.323,10.949138825847538,31.117999999999995,126.09645695334444,105.88576459611264
2022-11-01,2022,11,November,4,2022-11,0.963,2.1230490599999996,14.099526066350698,0.26234977999999987,133.5181975736568,315.857,10.630212218964875,30.350000000000023,126.31000150294307,105.70675004745826
2022-12-01,2022,12,December,4,2022-12,0.971,2.14068602,18.41463414634148,0.3328976200000002,134.6273830155979,316.839,10.409944035181873,29.87299999999999,126.70269953235476,106.2545498339753
2023-01-01,2023,1,January,1,2023-01,0.97,2.1384814,16.58653846153846,0.30423756,134.48873483535527,319.136,10.133484256587955,29.364000000000033,127.62126101255708,105.38113615890575
2023-02-01,2023,2,February,1,2023-02,0.959,2.1142305799999996,15.542168674698797,0.28439598,132.96360485268627,320.569,9.486191656932874,27.775000000000034,128.19431221026275,103.72036212854825
2023-03-01,2023,3,March,1,2023-03,0.982,2.1649368399999998,12.74397244546499,0.24471281999999994,136.15251299826687,320.863,8.499364280690358,25.13499999999999,128.31188168139005,106.11060426683308
2023-04-01,2023,4,April,2,2023-04,0.98,2.1605275999999995,8.888888888888879,0.17636959999999968,135.8752166377816,321.566,7.651208023808942,22.85499999999996,128.59300868207887,105.66298901498334
2023-05-01,2023,5,May,2,2023-05,0.997,2.19800614,9.680968096809695,0.19400656000000005,138.2322357019064,322.249,6.691542123838734,20.211000000000013,128.86613775956178,107.26808307068214
2023-06-01,2023,6,June,2,2023-06,1.003,2.2112338599999997,8.54978354978353,0.17416497999999958,139.0641247833622,322.556,5.741851095426509,17.514999999999986,128.98890588077293,107.81091895755904
2023-07-01,2023,7,July,3,2023-07,1.006,2.21784772,8.288482238966655,0.16975574000000027,139.48006932409012,323.523,4.858815293065244,14.991000000000042,129.3756054677802,107.81017705754921
2023-08-01,2023,8,August,3,2023-08,0.997,2.19800614,7.783783783783793,0.1587326400000002,138.2322357019064,324.1,4.254121431443503,13.225000000000023,129.6063455522716,106.6554535681711
2023-09-01,2023,9,September,3,2023-09,0.981,2.1627322199999996,4.472843450479225,0.09259403999999982,136.01386481802425,324.704,3.6922546320838467,11.562000000000012,129.847882833091,104.74861957730887
2023-10-01,2023,10,October,4,2023-10,0.96,2.1164351999999997,-0.31152647975076775,-0.00661385999999986,133.10225303292893,325.731,3.3007424133349117,10.408000000000015,130.25857618971605,102.18310143285399
