FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,AGG_METHOD,AGG_METHOD_LABEL,DECIMALS,DECIMALS_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,DATA_SOURCE,DATA_SOURCE_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,Annual,ARM,Armenia,WB_WDI_NY_GDP_MKTP_CD,GDP (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256863448.77086,2069870129.8701296,1272835453.426344,1201312829.2752385,1315158636.6755345,1468317435.2014842,1596968946.2370784,1639492444.7615163,1893726437.2646184,1845482173.027324,1911563668.8500648,2118467913.378734,2376335048.399756,2807061008.6908445,3576615240.4161587,4900469511.1019125,6384452066.514603,9206301269.791636,11662040713.875307,8647937081.256197,9260285755.624235,10142111824.583546,10619320682.947445,11121464437.04153,11609513246.795769,10553337518.414,10546136235.521862,11527458709.015797,12457940694.73953,13619290539.211609,12641698583.21524,13878908628.937807,19513506553.125072,24085749592.335915,25786585949.63461
A,Annual,ASM,American Samoa,WB_WDI_NY_GDP_MKTP_CD,GDP (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0,612000000.0,639000000.0,647000000.0,721000000.0,750000000.0,871000000.0,,
A,Annual,ATG,Antigua and Barbuda,WB_WDI_NY_GDP_MKTP_CD,GDP (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,77507407.4074074,88040740.74074073,109596296.29629628,132451851.85185184,149388888.88888887,166444444.44444445,184866666.66666663,212214814.8148148,246370370.3703704,297562962.9629629,346866666.6666666,411396296.2962963,455174074.074074,478718518.5185185,504337037.037037,525133333.3333333,565662962.962963,625081481.4814814,616051851.8518518,679140740.7407407,734422222.2222222,789788888.8888887,835544444.4444444,901003703.7037036,877774074.074074,898092592.5925925,948100000.0,1026329629.6296296,1143896296.296296,1303674074.074074,1487381481.4814813,1557640740.7407403,1386518518.5185184,1298348148.148148,1287359259.2592592,1364729629.6296296,1325496296.296296,1378707407.4074073,1437485185.1851852,1489603703.7037036,1534855555.555555,1661529629.6296296,1726448148.148148,1411637037.037037,1602125925.9259255,1866566666.6666665,2005785185.185185,2224814814.8148146
A,Annual,AUS,Australia,WB_WDI_NY_GDP_MKTP_CD,GDP (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,18607682977.229275,19684003149.440502,19923683187.78931,21540963446.55415,23801123808.17981,25977284156.365463,27308964369.4343,30442724870.83598,32714085234.253635,36684485869.51774,41334726613.55626,45217767234.84276,52042056074.76636,63833440102.4984,88965364775.2395,97304383449.406,105060616984.85648,110352144987.38245,118492761338.4644,134900602067.477,149987743732.59055,176895390688.49414,194041708043.6941,177267290706.22787,193525337525.76492,180643265927.2788,182481113598.2093,189495764955.00266,236161314544.1528,299875906679.2172,311426665219.9709,325975319455.5305,325525379566.83777,312133923552.5576,322806641300.588,368166023166.0232,401341880620.7279,435642611296.5858,399674421759.4791,389652212056.6487,416167815092.9082,379629301675.1082,395788696012.0592,467739079790.332,614659980082.5154,695692898676.5597,748417562769.6357,855007458585.2241,1056112427190.3768,928762122698.0496,1148838233480.7195,1398610616772.9673,1547532281116.3977,1577123329410.8835,1468265356427.763,1351296372254.314,1206836962281.8408,1325582658156.5354,1427809041019.4402,1392723834562.644,1328414058378.3755,1556735770437.2593,1690858246994.434,1728057316695.6077,1752193307380.3433
A,Annual,AUT,Austria,WB_WDI_NY_GDP_MKTP_CD,GDP (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,6624086313.143343,7346566037.833918,7793042529.159923,8414050621.0171585,9213648655.97511,10041659445.11802,10939526218.63931,11634569521.927347,12499863917.100342,13647475854.028725,15312791743.84758,17788536733.120388,21973207929.0434,29399860144.77476,35051468639.57597,39902300703.168205,42791707448.03252,51343861460.32803,61809208755.80404,73647694287.18477,81737498404.59476,70755997062.3812,70996111962.5716,71838528420.40755,67719055773.33058,69114996009.57701,98648254168.5444,123682091858.94646,132817124707.4557,132584448257.93031,165811372382.91177,173113449616.97113,194314032056.09818,189634029338.69632,202738023129.7434,240094169510.03137,235952581232.1289,211724812267.44843,217068085815.91812,216421809125.9156,196181599831.28668,196477206829.33017,212837224022.8133,260779834340.0967,299210411454.8228,313952317330.7765,333905979332.4807,386760177589.4965,429234399096.17255,399290118782.4287,389827789217.6341,428954737064.05725,406750487603.5899,426580502769.4165,438556021078.0341,379546097300.6326,393687359770.2733,414926138132.6913,452582294972.7754,442983642371.8424,434397601557.69617,480467037338.78296,471773629830.3812,511685203845.0012,521642466921.7453
A,Annual,AZE,Azerbaijan,WB_WDI_NY_GDP_MKTP_CD,GDP (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8884848484.848484,5344000000.0,444658671.5867158,1570392598.1495376,1193141110.3504274,2417331192.9526043,3176507376.3183618,3962362387.479221,4446368570.690101,4581248566.501584,5272615722.968918,5707616203.720108,6236087738.282841,7276413079.114511,8680405740.941248,13245421880.834042,20981929497.618767,33049419431.224392,48851293785.44826,44292427184.94917,52909294791.92624,65952796427.94731,69679944504.19719,74160560123.69016,75239785452.10219,53076235354.74602,37866996882.915695,40866627351.98167,47112470051.77007,48174235294.117645,42693000000.0,54825411764.70589,78807470588.2353,72428470588.23529,74315882352.94118
A,Annual,BDI,Burundi,WB_WDI_NY_GDP_MKTP_CD,GDP (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,195999990.0,202999992.0,213500006.0,232749998.0,260750008.0,158994962.96296296,165444571.42857143,178297142.85714287,183200000.0,190205714.2857143,242732571.42857143,252842285.7142857,246804571.42857143,304339523.90247566,345263492.06349206,420986666.6666666,448412753.6231884,547535555.5555556,610225555.5555556,782496666.6666666,919726666.6666666,969046666.6666666,1013222222.2222222,1082926304.464766,987143931.166987,1149979285.7734692,1201725497.065779,1131466494.0110068,1082403219.4878733,1113924130.411491,1132101252.5181746,1167398478.3459036,1083037670.60484,938632612.0263592,925030590.153683,1000428393.885281,869033856.3170933,972896267.915425,893770740.2074156,808077223.3657464,870486065.8831366,876794723.0685855,825394519.4237278,784654423.6204764,915257323.3960996,1117113079.736455,1273375078.4484448,1356199387.4230778,1611835857.0458813,1781455139.8593144,2032135192.0124843,2235820809.3200555,2333341334.457535,2451606632.292456,2705783329.804834,3104003546.264973,2644487776.500767,2723586962.8403373,2667182199.51333,2576518879.823531,2649680261.442985,2775798697.460224,3338722827.656905,2629391599.5015693,2162378759.3466973
A,Annual,BEL,Belgium,WB_WDI_NY_GDP_MKTP_CD,GDP (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,11810619368.387356,12561701694.33192,13436827166.51867,14445805381.387213,16168044450.25225,17597783297.458344,18894891312.297703,20252508995.47449,21654856965.428123,24019653474.99587,26706196046.79306,29821661869.91201,37209418018.51343,47743801490.37466,56033077879.03894,65678189097.29078,71113882967.60712,82839905458.63815,101246526194.44089,116315456796.918,126829314388.19148,104730018470.23032,92095926187.53313,87184239053.25444,83349530159.17342,86268264148.37964,120018787249.41304,149394404105.8887,162299103675.26056,164221056511.05652,205331747947.8513,210510999409.3325,234781652446.67505,224721795708.95523,244884129491.1985,288025588396.2781,279201433224.75574,252708051420.83896,258528339631.0291,258245733221.4677,236792460312.4711,236746141604.3704,258383599375.17697,318082528506.5876,369214712443.2056,385714762230.0388,408259840868.8229,470922156309.4525,517328087920.078,485014525992.46063,481556503720.0009,527196649048.6392,498414364944.96106,524097026598.5505,537987419164.3511,461044767544.531,474271566739.7288,500908767351.5303,542638913427.9212,536726344405.4893,529694473501.7913,598522422241.8508,593614574325.8778,644655275111.58,664564181486.953
A,Annual,BEN,Benin,WB_WDI_NY_GDP_MKTP_CD,GDP (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,226195578.43449736,235668220.5082016,236434954.038578,253927697.25804955,269819005.8781397,289908680.4263955,302925235.1519967,306221953.1049105,326323105.2647596,330748244.5395739,333627713.49443835,335073027.54117006,410331856.99121785,504376074.1857087,554654860.7025769,676870140.3415287,698408261.9222374,750049778.8406903,928843469.4317268,1186231019.8204372,1405251846.5404758,1291120188.431039,1267778670.359021,1095348199.4391124,1051134008.7897868,1045712789.1488352,1336102025.2776284,1562412227.9005773,1620246083.7947805,1502294416.171286,1959965330.1476505,1986437796.5305347,1695315305.7030787,2274558082.7613525,1598075943.867737,2169627137.920696,2361116449.393076,2268301646.4670687,2455092686.347117,3677393998.744858,3519991440.479132,3666222635.138748,4194342686.2178025,5349258094.482386,6190270380.498556,6567654954.38903,7034111314.888124,8169048382.838754,9787734526.23965,9738626517.003197,9535345015.78355,10693321363.657408,11141358115.899054,12517845123.931498,13284527846.908115,11388160996.773785,11821065853.38379,12701655836.9467,14262408089.926104,14391686313.464125,15686741893.518717,17687623534.666485,17425405083.879665,19673290995.84906,21482643720.274326
A,Annual,BFA,Burkina Faso,WB_WDI_NY_GDP_MKTP_CD,GDP (current US$),USD,US dollars,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,330442815.8211856,350247234.26071155,379567099.24942166,394040667.1063353,410321644.96491134,422916789.7482999,433889766.239436,450753923.5480476,460442689.3763777,478298645.3938204,458404268.76197135,482411179.1211782,578595521.9901348,674773569.8775476,751133430.4493006,939972703.4630206,976547188.0547776,1131224878.1886473,1475583644.9361432,1748480620.5239744,1928719888.2068832,1775842333.5704167,1754450096.2372131,1600278605.2546546,1459880132.1410668,1552493196.2842438,2036303357.6811328,2369834949.732339,2616040478.9930944,2615587733.973027,3101300778.564138,3135045584.08387,3356692505.18266,3199536465.233282,1895290637.095044,2379517975.280564,2586550595.4101324,2447669101.9517813,2804902367.146874,3389566712.6603723,2968370087.597594,3190371080.947684,3622350062.960528,4740768142.674943,5451688537.609592,6146353173.349286,6547419820.381131,7625722836.768471,9451435490.114674,9450696873.343262,10109619740.69942,12080295977.563232,12561015156.568283,13444300485.841228,13943016076.743608,11832159315.62978,12833363045.336657,14106955615.344175,15890066221.288244,16032813503.37069,17725010532.52676,19697516284.37868,18820218690.594765,20324617844.52653,23250214909.539062
